"Gene","Direction"
"COL11A2","Both"
"TAPBP","Both"
"VPS52","Both"
"WDR46","Both"
"PPT2","Both"
"PPT2-EGFL8","Both"
"AL669918.1","Both"
"TAP2","Both"
"PSMB9","Both"
"TAP1","Both"
"MSH5","Both"
"MSH5-SAPCD1","Both"
"SLC44A4","Both"
"AL669830.1","Both"
"VARS2","Both"
"BAG6","Both"
"PAX6","Both"
"PAUPAR","Both"
"AL035078.4","Both"
"EHBP1","Both"
"AC007098.1","Both"
"PPP1R16A","Both"
"AC084125.2","Both"
"LRRC14","Both"
"NOTCH4","Both"
"HLA-DMA","Both"
"MDC1","Both"
"MDC1-AS1","Both"
"SYNGAP1","Both"
"PPP1R18","Both"
"GNL1","Both"
"SGCE","Both"
"PEG10","Both"
"DLX6-AS1","Both"
"TRIM27","Both"
"PFDN6","Both"
"HOXB3","Both"
"HOXB-AS3","Both"
"TRIM26","Both"
"ZBED9","Both"
"CCND2","Both"
"AC008012.1","Both"
"MTA1","Both"
"PAX3","Both"
"VWA7","Both"
"VARS1","Both"
"Y_RNA","Both"
"AC009292.2","Both"
"HOXD10","Both"
"HOXD-AS2","Both"
"GABBR1","Both"
"GNAS-AS1","Both"
"GNAS","Both"
"AC132217.2","Both"
"IGF2","Both"
"INS-IGF2","Both"
"IGF2-AS","Both"
"AL121917.1","Both"
"PHF7","Both"
"AC072022.1","Both"
"WT1","Both"
"HAND2-AS1","Both"
"BLCAP","Both"
"PTPRG-AS1","Both"
"MEG3","Both"
"GNAT2","Both"
"NELFE","Both"
"AGAP3","Both"
"GFI1","Both"
"DDR1","Both"
"MEIS1-AS3","Both"
"MEIS1","Both"
"SATB2","Both"
"ISLR2","Both"
"RAB34","Both"
"CHTOP","Both"
"ZCWPW1","Both"
"MGST1","Both"
"MEIS2","Both"
"KDM6B","Both"
"NAA38","Both"
"CDK5","Both"
"STK3","Both"
"LHX1-DT","Both"
"TRIM31","Both"
"TRIM31-AS1","Both"
"RGL2","Both"
"CDK6","Both"
"CDK6-AS1","Both"
"EBF2","Both"
