"","ONTOLOGY","TERM","N","DE","P.DE","FDR"
"GO:0032501","BP","multicellular organismal process",7220,7066,5.19495340037428e-35,6.33868090214687e-31
"GO:0071944","CC","cell periphery",5724,5621,5.76768052970598e-35,6.33868090214687e-31
"GO:0005886","CC","plasma membrane",5285,5193,2.07936555066842e-33,1.52348182678973e-29
"GO:0032502","BP","developmental process",6455,6315,5.51693601579e-30,3.03155634067661e-26
"GO:0048856","BP","anatomical structure development",5926,5800,9.43460295097373e-28,4.14745145724805e-24
"GO:0003674","MF","molecular_function",17040,16453,1.32828729870124e-19,4.86595913757555e-16
"GO:0003008","BP","system process",2228,2202,2.44148313967928e-19,7.66625705859295e-16
"GO:0050789","BP","regulation of biological process",11383,11033,2.9890860381689e-18,8.21251388986905e-15
"GO:0065007","BP","biological regulation",11755,11389,4.26377770780131e-18,1.04130926686081e-14
"GO:0023052","BP","signaling",6316,6159,7.28553978810164e-18,1.60136164542474e-14
"GO:0007154","BP","cell communication",6339,6181,8.46925001310153e-18,1.69231013898156e-14
"GO:0007275","BP","multicellular organism development",4697,4598,1.45582240456459e-17,2.66658137102748e-14
"GO:0050896","BP","response to stimulus",8500,8258,5.90999579249745e-17,9.9924390399303e-14
"GO:0048869","BP","cellular developmental process",4407,4313,2.29229517687924e-16,3.54370881620911e-13
"GO:0030154","BP","cell differentiation",4405,4311,2.41836361433743e-16,3.54370881620911e-13
"GO:0048731","BP","system development",4041,3959,4.57287418238626e-16,6.28198590805313e-13
"GO:0007165","BP","signal transduction",5823,5676,8.18704516815154e-16,1.00284628308326e-12
"GO:0005488","MF","binding",15772,15228,8.21257192697848e-16,1.00284628308326e-12
"GO:0005515","MF","protein binding",13899,13439,1.26726250466641e-15,1.46602262381935e-12
"GO:0050794","BP","regulation of cellular process",10975,10627,5.51384407625123e-15,6.0597146398001e-12
"GO:0048513","BP","animal organ development",3014,2960,6.48195641190531e-15,6.78444771112756e-12
"GO:0048468","BP","cell development",2858,2807,3.66187816773e-14,3.60335198398382e-11
"GO:0016020","CC","membrane",8804,8539,3.77056850007406e-14,3.60335198398382e-11
"GO:0051239","BP","regulation of multicellular organismal process",3032,2973,1.44121756601729e-13,1.31991508754416e-10
"GO:0009653","BP","anatomical structure morphogenesis",2756,2706,2.17047507990826e-13,1.90828169025535e-10
