"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"BP","GO:0048706","embryonic skeletal system development",135,0.672916886773467,1.65871480775337,1e-10,1.34262295081967e-08,9.40120793787748e-09,5679,"tags=67%, list=23%, signal=52%","DLX3/HOXA9/HOXA6/WNT5A/SOX11/SHH/PAX5/FGF8/HOXC11/KIAA1217/MDFI/HAND2/HOXA3/GSC/COL2A1/HOXA7/SIX2/DMRT2/BMP4/HOXB4/SULF1/HOXA11/TBX15/TBX1/OSR1/HOXD3/EXT1/NKX3-2/HOXD1/DLX4/TFAP2A/GLI3/ALX4/IRX5/SHOX2/TWIST1/LHX1/HOXB7/DLX1/MMP14/HOXC9/FUZ/HOXB2/HOXA1/HOXC6/SLC35D1/SMAD3/EDNRA/DSCAML1/RBP4/FGFR2/FGF9/HOXD11/PAX7/HOXA4/WNT9A/TGFBR1/SCX/ALX1/HOXB3/TGFBR2/ALX3/FOXC2/ACVR2A/HOXC4/IHH/WNT9B/HOXB9/COL1A1/HOXA5/DLX6/MYF5/HOXC5/OSR2/DLX2/HOXB6/PDGFRA/DLX5/HOXD9/SIX1/MMP16/EYA1/NDST1/BMP7/HOXB8/MTHFD1L/SATB2/HOXD4/SP3/MTHFD1/RUNX2"
"BP","GO:0072089","stem cell proliferation",124,0.642133230950589,1.57819898770226,1e-10,1.34262295081967e-08,9.40120793787748e-09,5304,"tags=55%, list=22%, signal=43%","ACE/RUNX1/WNT5A/CD109/SOX11/SHH/FGF8/TRIM71/WNT2B/SFN/HOXA3/RARB/RARG/DSG2/SIX2/HOXB4/FERMT1/ZFP36L1/SOX9/GLI3/TBX3/NFIB/WNT3/SHOX2/NR2E1/NF2/LTBP3/CEBPA/SFRP2/TP63/WNT1/RNF43/EIF2AK2/FGF9/TSC22D1/TERT/MIR320C1/HMGB2/SOX18/KITLG/KDF1/TGFBR1/TGFBR2/PTCH1/YJEFN3/LIG4/YTHDF2/HMX2/NF1/XRCC5/TTYH1/SOX17/FBLN1/AGO3/FGF2/PIM1/THPO/OSR2/CD34/KDR/VEGFC/NES/OVOL2/N4BP2L2/WNT7B/HMGA2/ZNRF3/WNT10B"
"BP","GO:0048754","branching morphogenesis of an epithelial tube",160,0.626297838787493,1.55286536684603,1e-10,1.34262295081967e-08,9.40120793787748e-09,6454,"tags=64%, list=26%, signal=47%","CSF1/PAK1/WNT2/TACSTD2/WNT5A/SHH/FGF8/WNT2B/PGR/SIX2/BMP4/CELSR1/HOXA11/NFATC4/EXT1/WT1/COL4A1/SOX9/SPRY1/GLI3/SALL1/BCL2/PAX2/TBX3/EPHA2/MDK/SPRY2/LHX1/ACVR1/HOXB7/NKX2-1/HNF1B/NRARP/MMP14/GDF7/DDR1/HS3ST3A1/SFRP2/GDNF/GBX2/EDNRA/FGFR2/WNT1/CASR/GLI2/PITX2/FGF1/ENG/HOXD11/GNA13/TGFBR2/PTCH1/FOXC2/LGR4/NRP1/IHH/TMEM59L/WNT9B/MET/HHIP/HOXA5/NPNT/WNT6/GREB1L/RASIP1/FGF2/PKD1/GREM1/VANGL2/FOXA1/KDR/ESR1/TBX2/SRC/WNT4/EDN1/MED1/FOXF1/IGF1/SIX1/HMGA2/SLIT2/VDR/EYA1/SRF/NOTCH4/BMP7/TCF21/CTSZ/LEF1/RSPO2/BTRC/ETV5/TBX20/TFAP2C/SMO/MYCN/PAX8/TNF/DLL4/LRP5/BMP2"
"BP","GO:0009952","anterior/posterior pattern specification",213,0.620024565867656,1.55035145947211,1e-10,1.34262295081967e-08,9.40120793787748e-09,7258,"tags=69%, list=29%, signal=49%","HES5/KDM2B/HOXA9/WNT2/HOXA6/TDRD5/HOXA10/WNT5A/SHH/FGF8/HOXC11/WNT2B/NEUROG1/SIX3/HOXA3/RARG/NEUROD1/EN1/HOXA7/SIX2/TBXT/DMRT2/BMP4/HOXB4/HOXA11/CDX2/FEZF2/TBX1/PAX6/OSR1/HES2/HOXD3/LDB1/WT1/FOXB1/GLI3/ALX4/HES1/HELT/TBX3/TCF15/PCDH8/WNT3/HEYL/PGAP1/LHX1/WNT3A/HOXB7/HNF1B/NRARP/OTX1/DLL1/MLLT3/PRICKLE1/BMPR2/HOXC9/BHLHE40/FUZ/HOXB2/HOXC6/WLS/SMAD3/SFRP2/GBX2/FEZF1/PPP2R3A/NCKAP1/WNT1/HOXC8/HOXD13/HOXC10/HOXA4/RIPPLY2/HOXC13/FZD5/TGFBR1/DKK1/ALX1/HOXB3/CYP26C1/BARX1/EMX2/FOXC2/TBX18/ACVR2A/HOXC4/HES3/NKD1/CDX1/HOXB9/PLD6/YY1/MSX1/HOXA5/GATA4/SOX17/ARC/FOXC1/MYF5/HOXC5/VANGL2/HOXB6/BTG2/RING1/MSGN1/HHEX/LFNG/BHLHE41/CELSR2/SEMA3C/FOXF1/PBX3/HOXD9/POFUT1/PLXNA2/HEY2/EPB41L5/PSEN1/SRF/TASOR/ABI1/RNF2/HOXB8/LEF1/HOXD4/DLL3/ALDH1A2/AXIN2/MEOX1/SFRP1/SMO/FOXA2/ETS2/LRP5/HOXB5/BMP2/FOXH1/ZBTB16/HOXD10/BASP1/OTX2/SMAD2/HES7/SSBP3/TP53/HES6/GDF3/ZEB2"
"BP","GO:0045165","cell fate commitment",296,0.614004549714009,1.5479897904271,1e-10,1.34262295081967e-08,9.40120793787748e-09,5399,"tags=56%, list=22%, signal=45%","GATA3/HES5/WNT2/PDPN/TGFB1I1/WNT5A/TRIM15/TBX4/SHH/TLX3/DMRTA2/FGF8/APC2/STAT6/NKX2-2/WNT2B/ERBB4/MNX1/APC/NKX2-5/TBR1/NEUROG1/PRDM14/GSC/ONECUT2/NEUROD1/GSX2/SIX2/TBXT/BMP4/LBX1/GATA6/HOXA11/NKX6-3/NKX2-3/PPARG/TBX15/FEZF2/FZD7/BARHL2/TBX1/PAX6/OLIG3/OLIG1/ONECUT1/FOXG1/EXT1/WT1/SOX9/POU4F1/GLI3/BCL2/RARA/HES1/PAX2/POU3F2/TAL1/TBX3/FEV/NFIB/WNT3/PTCH2/SPRY2/NR2E1/JAG1/ACVR1/WNT3A/ATOH1/NKX2-1/HNF1B/DHH/WNT10A/DLX1/GDF7/DLL1/IL12RB1/LGALS1/HOXA13/TGFB2/IRF4/SFRP2/GATA2/LOXL3/EDNRA/DSCAML1/FGFR2/SOSTDC1/BCL11B/WNT1/GLI2/HOXC10/PRDM11/PAX7/IFRD1/STAT3/FOXN4/WNT9A/SOX18/TGFBR1/DKK1/TEAD3/FOXI3/PTCH1/FOXC2/TBX18/WNT5B/ZDHHC16/NRP1/PRDM12/IHH/PITX1/OPA1/FOXN1/WNT9B/EPAS1/STAT5A/SOCS3/TBX21/PRDM1/MYOD1/IL23A/GATA4/SOX1/BRD2/SOX17/GSX1/ISL2/WNT16/WNT6/MYF5/FGF2/KLF4/EOMES/DLX2/ARHGEF2/TCF7L2/MGA/TBX5/FOXA1/SMAD5/OLIG2/MEF2C/LMO4/KDR/GATAD2B/TBX2/PTF1A/MTA3/WNT4/DMRT3/TNXB/NFIA/EDN1/ASCL1/SIX1/NKX6-2/WNT7B/MIR125A/SUFU/GAS1/HEY2/EYA1/PSEN1/WNT10B/NOTCH4/NOTCH3/SOX2"
"BP","GO:0048562","embryonic organ morphogenesis",302,0.608460114717056,1.53495404698988,1e-10,1.34262295081967e-08,9.40120793787748e-09,6786,"tags=61%, list=28%, signal=45%","GATA3/KDM2B/HOXA9/FBN1/MFAP2/WNT5A/SOX11/SHH/PAX5/FGF8/HOXC11/WHRN/RYR2/NTN1/MDFI/NKX2-5/NEUROG1/SIX3/HAND2/HOXA3/GSC/RARB/RARG/COL2A1/NEUROD1/HOXA7/SIX2/BMP4/HOXB4/LBX1/HOXA11/TBX15/TBX1/FOXE1/PAX6/OSR1/HOXD3/FOXG1/TRIOBP/NKX3-2/SOX9/TFAP2A/FOXL2/GLI3/TMIE/ALX4/HES1/PAX2/RNF207/TBX3/IRX5/EPHA2/FOXI1/SHOX2/TWIST1/HLX/SPRY2/LHX1/ACVR1/WNT3A/HOXB7/ATOH1/HNF1B/MYO15A/GRHL3/OTX1/MMP14/DLL1/ASB2/HOXC9/FUZ/HOXB2/HOXA1/SMAD3/NOTO/GATA2/FRZB/GBX2/EDNRA/DSCAML1/NCKAP1/RBP4/FGFR2/WNT1/KCNQ1/PITX2/TH/FGF9/ENG/HOXD11/HAND1/ANKRD24/HOXA4/STOX1/POU4F3/FOXN4/SOX18/FZD5/TGFBR1/ALX1/NECTIN3/HOXB3/TGFBR2/ALX3/FOXC2/CDH23/FOXF2/SOBP/TBX18/ZIC1/HOXC4/IHH/WNT9B/HOXB9/HMX2/MSX1/CLUAP1/HOXA5/DLX6/GATA4/PTK7/SOX17/MYO7A/PLS1/KCNQ4/WNT16/MYF5/ALDH1A3/CTHRC1/OSR2/DLX2/VANGL2/FBN2/HOXB6/ATP8A2/MEF2C/NDRG4/TBX2/PDGFRA/CITED2/EDN1/OVOL2/DLX5/FBN3/FOXF1/HOXD9/SIX1/SLITRK6/SUFU/TTC39C/MMP16/HIF1A/FZD2/EYA1/PSEN1/SRF/NDST1/BMP7/HOXB8/TCF21/MTHFD1L/SATB2/EPHB2/HOXD4/SP3/MTHFD1/RUNX2/PDZD7/HMX3/SLC44A4/LRIG3/TBX20/GJB6/SMO/MYCN/IFT172/PAX8/HOXB5/FOXH1/SLC39A1/RBPMS2/GLI1/MEGF8/HOXD10/DNAAF1"
"BP","GO:0021953","central nervous system neuron differentiation",238,0.605388852421614,1.51921054453485,1e-10,1.34262295081967e-08,9.40120793787748e-09,6910,"tags=61%, list=28%, signal=45%","HES5/WNT2/WNT5A/PHOX2A/SHH/SPTBN4/FGF8/NKX2-2/ERBB4/MNX1/ELAVL4/NTRK2/SZT2/TBR1/NEUROD1/EN1/GSX2/LBX1/FZD1/FAIM2/NPY/EMX1/FEZF2/BARHL2/PAX6/CBLN1/OLIG3/FOXG1/LDB1/POU4F1/GLI3/PHOX2B/SALL1/HES1/POU3F2/TAL1/NFIB/WNT3/EPHA2/BRINP3/POU4F2/NR2E1/INHBA/LHX1/LHX6/WNT3A/ATOH1/DRD2/NKX2-1/DLX1/DCLK2/GDF7/ID4/LEP/BCL6/SFRP2/GATA2/LMX1A/GBX2/FEZF1/OTP/FGFR2/BCL11B/WNT1/SHANK3/GLI2/HOXC10/PRDM8/RORA/PAX7/FOXN4/DKK1/PTCH1/RAPGEF2/ZDHHC16/NRP1/NKX6-1/CRK/WNT9B/MDGA2/EN2/KIAA0319/SOX1/NDNF/GSX1/ISL2/SLC4A10/MDGA1/FGF2/AGBL4/EOMES/B4GALT6/DLX2/TSKU/NANOS1/LHX5/OLIG2/BTG2/LMO4/NRXN1/CHD5/DAB1/SPAST/PTF1A/NOVA2/WNT4/CNTN2/DMRT3/ASCL1/DLX5/NIN/TGIF2/PAFAH1B1/SUFU/SCN1B/TGIF1/SLIT2/PSEN1/EPHB2/ARHGEF28/SKOR2/LHX4/VSX2/CDH11/PRKCA/TBX20/TFAP2C/PEX5/SFRP1/SMO/B4GALT5/IFT172/DLL4/NHLH2/BMP2/ROBO2/ROBO1/DISC1/UNCX/MAP2/BRSK2/NRP2/HOXD10/ARHGAP35/DCC/DRD1"
"BP","GO:0007389","pattern specification process",459,0.595982897062816,1.51324494864906,1e-10,1.34262295081967e-08,9.40120793787748e-09,6820,"tags=59%, list=28%, signal=44%","HES5/KDM2B/HOXA9/WNT2/HOXA6/TDRD5/HOXA10/WNT5A/NBL1/SHH/DMRTA2/FGF8/RAX/APC2/NKX2-2/HOXC11/WNT2B/ERBB4/APC/IRX3/DRC1/MDFI/NKX2-5/TBR1/NEUROG1/SIX3/HAND2/HOXA3/GSC/RARG/NEUROD1/EN1/GSX2/HOXA7/SIX2/TBXT/DMRT2/BMP4/HOXB4/LBX1/IRX1/HOXA11/CDX2/EMX1/FEZF2/TBX1/PAX6/OSR1/HES2/HOXD3/FOXG1/LDB1/EXT1/LRP2/LHX2/WT1/FOXB1/NKX3-2/SPRY1/GLI3/NRG3/ALX4/HES1/PAX2/RNF207/HELT/TBX3/TCF15/PCDH8/WNT3/HEYL/PGAP1/LHX1/ACVR1/DAW1/WNT3A/HOXB7/ENKUR/NKX2-1/RIPPLY3/HNF1B/NRARP/GRHL3/OTX1/DLX1/DLL1/DAAM2/ASB2/SEMA3F/MLLT3/NTF4/PRICKLE1/RELN/MEIS2/BMPR2/HOXC9/BHLHE40/BICC1/FUZ/HOXB2/HOXC6/WLS/SMAD3/SFRP2/NOTO/GDNF/GBX2/FEZF1/TP63/MEIS1/DSCAML1/PPP2R3A/NCKAP1/FGFR2/SOSTDC1/WNT1/IRX4/CHRD/GLI2/HOXC8/PITX2/HOXD13/HOXC10/SHROOM3/SMARCD3/LRP4/FGF1/ENG/HOXD11/HAND1/KIF3B/PAX7/ODAD3/HOXA4/RIPPLY2/FOXN4/SOX18/HOXC13/LMX1B/FZD5/TGFBR1/DKK1/ALX1/ACVRL1/HOXB3/CYP26C1/TGFBR2/BARX1/ALX3/PTCH1/EMX2/DNAH11/FOXC2/TBX18/GPR161/ACVR2A/ZIC1/NRP1/HOXC4/HES3/IHH/CFAP53/NKD1/CDX1/HOXB9/HHIP/PLD6/YY1/MSX1/CLUAP1/HOXA5/PBX2/GATA4/SOX1/SOX17/ARC/NEK8/ADGRG1/FOXC1/WNT6/AXIN1/MYF5/FGF2/HOXC5/EOMES/OSR2/DLX2/ODAD2/GREM1/TBX5/VANGL2/FOXA1/SMAD5/HOXB6/BTG2/RING1/MEF2C/NDRG4/MSGN1/TBX2/SIM2/HHEX/LFNG/CITED2/DMRT3/EDN1/ASCL1/OVOL2/BHLHE41/CELSR2/SEMA3C/FOXF1/PBX3/HOXD9/POFUT1/SIX1/PLXNA2/WNT7B/TLL2/SUFU/CHSY1/HIF1A/SP8/CXXC4/HEY2/EPB41L5/EGR2/TGIF1/EYA1/PSEN1/SRF/TASOR/ABI1/RNF2/BMP7/HOXB8/SATB2/SYNGAP1/LEF1/HOXD4/CRAMP1/DLL3/ALDH1A2/CFAP52/AXIN2/TBX20/MEOX1/HOXD12/SFRP1/SMO/TMEM107/IFT172/FOXA2/PAX8/DLL4/ETS2/LRP5/HOXB5/BMP2/ROBO2/FOXH1/ROBO1/UNCX/ZBTB16/DNAI1/ANKS6/GLI1/MEGF8/NRP2/HOXD10/DNAAF1/BASP1/OTX2"
"BP","GO:0045664","regulation of neuron differentiation",191,0.607064768598747,1.51176528301995,1e-10,1.34262295081967e-08,9.40120793787748e-09,5399,"tags=54%, list=22%, signal=43%","HES5/DUOXA1/SOX11/NBL1/SHH/TLX3/VWC2/NKX2-2/IRX3/NKX2-5/NEUROG1/SIX3/NEUROD1/BMP4/LBX1/ADRA2B/NKX6-3/TCF12/FEZF2/PAX6/HOXD3/FOXG1/RAP1GAP/SOX9/GLI3/PHOX2B/BCL2/RARA/HES1/TP73/BRINP3/CTDSP1/DIXDC1/HEYL/POU4F2/NR2E1/TUNAR/JAG1/WNT3A/ATOH1/KCTD11/SLC6A4/DLX1/GDF7/DLL1/ID4/BCL6/RELN/EDNRB/EIF2AK4/MYCL/FGF20/EIF4G1/SFRP2/GATA2/SOCS2/LMX1A/FEZF1/MEIS1/TIAM1/BCL11B/NLGN1/RAB37/EPO/ADRA2C/DKK1/NGF/LRRK2/LTK/NKX6-1/ZNF536/CNTF/MMD2/MAP1B/NEUROD2/APP/ISL2/GDF5/FGF2/TCF4/DLX2/ARHGEF2/FOXA1/OLIG2/MEF2C/EIF4E/DAB1/CNTN2/ASCL1/TGIF2/CDK5R1/MED1/DTX1/SIX1/GPR37L1/SPAG9/HEY2/TGIF1/ECT2/EYA1/CXCL12/NOTCH3/BMP7/SOX2"
"BP","GO:0048705","skeletal system morphogenesis",228,0.60181205460731,1.5087766017269,1e-10,1.34262295081967e-08,9.40120793787748e-09,6728,"tags=60%, list=27%, signal=44%","HOXA9/TBX4/SOX11/PAX5/FGF8/HOXC11/LTF/MDFI/NEUROG1/HOXA3/GSC/RARB/RARG/COL2A1/HOXA7/SIX2/SP5/ACP5/BMP4/HOXB4/HOXA11/TBX15/TBX1/OSR1/HOXD3/DHRS3/EXT1/NKX3-2/SFRP4/SOX9/ACTN3/TFAP2A/GLI3/ALX4/RARA/TCF15/IRX5/SHOX2/TWIST1/LHX1/HOXB7/MMP14/LTBP3/TGFB2/BMPR2/HOXC9/FUZ/HOXB2/HOXA1/SMAD3/TRPV4/DSCAML1/FGFR2/CHAD/HOXC8/CSGALNACT1/HOXD11/COMP/PHOSPHO1/RAB23/HOXA4/RIPPLY2/FGFR3/TGFBR1/SCX/ALX1/HOXB3/CCN2/TGFBR2/ALX3/FOXC2/CSRNP1/HOXC4/NAB2/IHH/CDX1/GHR/WNT9B/HOXB9/HHIP/COL1A1/RFLNA/MSX1/HOXA5/BARX2/NAB1/FOXC1/MYF5/PKD1/ATG9B/OSR2/DLX2/TSKU/GREM1/FREM1/FBN2/HOXB6/MEF2C/MMP2/PDGFRA/CITED2/DLX5/GLG1/HOXD9/SIX1/CHSY1/MMP16/ARID5B/EYA1/PSEN1/WNT10B/NDST1/BMP7/HOXB8/MTHFD1L/SATB2/HOXD4/MTHFD1/RUNX2/AXIN2/P2RX7/INPPL1/FGF18/SFRP1/TMEM107/MYCN/LRP5/HOXB5/PLEKHA1/ALPL/SLC39A1/TMEM119/UNCX/SOX6/MEGF8/HOXD10"
