"","Description","N","DE","P.DE","FDR"
"hsa04519","Cadherin signaling",393,392,7.88911008763403e-07,0.000292685984251222
"hsa04080","Neuroactive ligand-receptor interaction",343,341,3.23853649718755e-05,0.00433153798311831
"hsa04014","Ras signaling pathway",228,228,6.13016280874783e-05,0.00433153798311831
"hsa05200","Pathways in cancer",509,503,6.22615827847608e-05,0.00433153798311831
"hsa04517","IgSF CAM signaling",286,285,6.48625814296874e-05,0.00433153798311831
"hsa04820","Cytoskeleton in muscle cells",225,225,7.00518272202422e-05,0.00433153798311831
"hsa04024","cAMP signaling pathway",219,219,9.10315810352159e-05,0.00482467379486644
"hsa05165","Human papillomavirus infection",318,316,0.000129852424727753,0.00602190619674953
"hsa05205","Proteoglycans in cancer",198,198,0.000239745978895329,0.00988286201890745
"hsa04082","Neuroactive ligand signaling",192,192,0.000283431764672773,0.0100151002305125
"hsa04740","Olfactory transduction",337,332,0.000296943672602796,0.0100151002305125
"hsa04020","Calcium signaling pathway",241,240,0.000389586765899573,0.0120447241790618
"hsa04151","PI3K-Akt signaling pathway",343,339,0.000890979024375604,0.0254271706187192
"hsa05225","Hepatocellular carcinoma",163,163,0.000996821106598486,0.0264157593248599
"hsa04015","Rap1 signaling pathway",208,207,0.00140545548305972,0.0347615989476771
"hsa04010","MAPK signaling pathway",288,285,0.00168471055121826,0.0390642259063734
"hsa04518","Integrin signaling",149,149,0.00193779942879889,0.0419982542635632
"hsa05226","Gastric cancer",148,148,0.00204767139200562,0.0419982542635632
"hsa04072","Phospholipase D signaling pathway",145,145,0.00218381597591093,0.0419982542635632
"hsa05224","Breast cancer",146,146,0.00226405683361527,0.0419982542635632
"hsa04510","Focal adhesion",196,195,0.00253098634510297,0.0447140920968191
"hsa04514","Cell adhesion molecule (CAM) interaction",138,138,0.00268874045234771,0.0450925326819917
"hsa04371","Apelin signaling pathway",138,138,0.002805016539374,0.0450925326819917
"hsa04062","Chemokine signaling pathway",184,183,0.00291703715463019,0.0450925326819917
"hsa05418","Fluid shear stress and atherosclerosis",134,134,0.00311681266981019,0.0462535000199832
"hsa04270","Vascular smooth muscle contraction",131,131,0.00369383107732884,0.0523799297009004
"hsa04910","Insulin signaling pathway",132,132,0.0038144486493255,0.0523799297009004
"hsa04382","Cornified envelope formation",206,204,0.00402068794873771,0.0523799297009004
"hsa05163","Human cytomegalovirus infection",215,213,0.00409438803591944,0.0523799297009004
"hsa04926","Relaxin signaling pathway",126,126,0.00477006034527674,0.0589897462699224
"hsa04611","Platelet activation",125,125,0.00508735943576923,0.060884204860335
"hsa04360","Axon guidance",177,176,0.00539382040972666,0.0625346053752684
"hsa04310","Wnt signaling pathway",173,172,0.00597779506439612,0.067204908148211
"hsa04725","Cholinergic synapse",112,112,0.00889659926324544,0.0927003163422642
"hsa04726","Serotonergic synapse",108,108,0.00897926818875429,0.0927003163422642
"hsa04928","Parathyroid hormone synthesis, secretion and action",113,113,0.00899517894426283,0.0927003163422642
"hsa04022","cGMP-PKG signaling pathway",160,159,0.00924704558697805,0.0927203760207799
"hsa04931","Insulin resistance",106,106,0.0114309601297379,0.111602268635072
"hsa04934","Cushing syndrome",153,152,0.0123897874264178,0.117563792521519
"hsa04921","Oxytocin signaling pathway",151,150,0.0128127586206437,0.117563792521519
"hsa05215","Prostate cancer",103,103,0.012992225049548,0.117563792521519
"hsa05414","Dilated cardiomyopathy",101,101,0.0142533424857488,0.123051593007058
"hsa04916","Melanogenesis",101,101,0.0145166783830293,0.123051593007058
"hsa04261","Adrenergic signaling in cardiomyocytes",148,147,0.0145937199253653,0.123051593007058
"hsa04972","Pancreatic secretion",94,94,0.0155561401538331,0.128251733268268
"hsa04750","Inflammatory mediator regulation of TRP channels",98,98,0.0161477824841361,0.130235376122055
"hsa05410","Hypertrophic cardiomyopathy",96,96,0.0174148720724523,0.131655038979215
"hsa04713","Circadian entrainment",96,96,0.0177918107675424,0.131655038979215
"hsa04933","AGE-RAGE signaling pathway in diabetic complications",96,96,0.0178193323912569,0.131655038979215
"hsa01522","Endocrine resistance",96,96,0.0182839079800722,0.131655038979215
"hsa05202","Transcriptional misregulation in cancer",180,178,0.0186187500194561,0.131655038979215
"hsa04081","Hormone signaling",211,208,0.0188100387902494,0.131655038979215
"hsa04925","Aldosterone synthesis and secretion",94,94,0.0191599882712687,0.131655038979215
"hsa04657","IL-17 signaling pathway",90,90,0.019650472557602,0.131655038979215
"hsa04550","Signaling pathways regulating pluripotency of stem cells",140,139,0.019784820669253,0.131655038979215
"hsa04915","Estrogen signaling pathway",137,136,0.0198724587138438,0.131655038979215
"hsa04912","GnRH signaling pathway",91,91,0.0207478354838913,0.13504292920217
"hsa04970","Salivary secretion",87,87,0.0219288177697989,0.140268817113713
"hsa04742","Taste transduction",83,83,0.0241754590245535,0.152018564374735
"hsa05032","Morphine addiction",88,88,0.0246675385044606,0.152527613085915
"hsa04145","Phagocytosis",233,229,0.0252204288797497,0.15338982154733
"hsa05150","Staphylococcus aureus infection",77,77,0.0263807308929401,0.155833657877557
"hsa04512","ECM-receptor interaction",87,87,0.0264623192622267,0.155833657877557
"hsa01100","Metabolic pathways",1491,1442,0.0271147050038765,0.157180555569346
"hsa04728","Dopaminergic synapse",129,128,0.027679586816737,0.157573542444613
"hsa04727","GABAergic synapse",84,84,0.0280319509470201,0.157573542444613
"hsa04911","Insulin secretion",83,83,0.0302993662258585,0.167777087608858
"hsa05412","Arrhythmogenic right ventricular cardiomyopathy",83,83,0.0308580529519848,0.168357906546858
"hsa04530","Tight junction",163,161,0.0326297402923566,0.175443965919772
"hsa04260","Cardiac muscle contraction",78,78,0.0346530778465012,0.183661312586457
"hsa04140","Autophagy - animal",159,157,0.0372515545155606,0.193114013292804
"hsa01521","EGFR tyrosine kinase inhibitor resistance",79,79,0.0375411713417804,0.193114013292804
"hsa04060","Cytokine-cytokine receptor interaction",274,268,0.0379981751223037,0.193114013292804
"hsa04971","Gastric acid secretion",75,75,0.042930013208414,0.206356791305363
"hsa05214","Glioma",75,75,0.0434560473533426,0.206356791305363
