"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04310","Wnt signaling pathway",172,0.605942388751031,1.49963890590284,1e-10,3.5e-08,2.52631578947368e-08,6285,"tags=59%, list=26%, signal=44%","7472/7474/5330/10297/5880/7482/147111/324/894/164284/9620/8321/166336/8324/4776/50964/6424/1951/7473/89780/1487/1454/80326/23500/8454/4163/144165/4775/11197/4088/6423/2487/5579/7471/817/54894/4920/27130/5601/23002/9978/7483/7855/22943/11211/27121/81029/55366/5582/147495/896/85407/7484/64321/25805/4773/51384/83439/7475/8312/10023/5331/7089/343637/5176/6500/6934/4772/57216/8326/5602/54361/6932/5566/1952/5467/7477/8549/8840/80319/2535/84133/8325/5663/7480/8061/51176/340419/818/7090/8945/27123/5578/5332/8313/6422/85409/1501/4041/440193/7091"
"hsa04081","Hormone signaling",211,0.560615187757643,1.39633410710702,2.4272401428181e-08,4.24767024993167e-06,3.06598754882286e-06,6535,"tags=48%, list=27%, signal=35%","3667/5745/2100/5330/551/7433/2769/185/885/6751/1815/9630/196883/151/11069/2786/552/5744/84539/7200/3953/268/4986/5293/107/90/148/1813/113/5443/3952/5618/30061/5179/3480/5020/4157/154/2056/3643/2770/111/5592/6774/7068/796/10672/7349/4883/4881/2057/152/553/2771/4987/2690/10681/6776/5021/2693/4158/153/2778/7066/10268/5331/155/109/7434/4090/8660/2099/6714/1394/5566/114131/2696/2834/5296/3479/6777/2862/10411/2980/51094/2788/3481/2740/146/94235/3060/4879/5332/341208/6754/117247/1395/150/7253/1734/51764"
"hsa04080","Neuroactive ligand-receptor interaction",343,0.524637093882806,1.3208793412517,5.24368076617213e-08,6.11762756053415e-06,4.41573117151338e-06,7823,"tags=51%, list=33%, signal=35%","5745/2563/2900/551/7433/133/185/2587/885/79957/6751/1815/151/9170/4852/4887/5729/552/1145/1902/84539/5734/3351/2550/8811/7200/5031/3953/6863/4986/148/2557/1813/2902/344838/6870/2149/5443/1143/3952/5618/5179/1144/1910/53637/4544/5732/10874/1268/1909/1128/283869/5020/4157/2894/154/1140/2831/10888/136/7068/796/3269/7349/152/553/5724/135/6343/624/2555/64106/5029/5733/3363/3814/1903/4987/1131/2690/23566/2151/2898/4829/5021/7425/4543/623/2693/256933/2908/1129/23620/4158/153/9127/1241/2911/4886/2917/2915/2914/84634/155/6344/7434/6915/3362/2893/6869/1394/1906/114131/2696/2834/11255/116443/2862/339403/5697/165829/66004/3354/3350/1139/2740/3357/134/51289/146/3060/56413/2561/5027/6754/57152/2859/5026/2901/4889/1395/5731/2569/9002/150/7253/2558/1146/130576/10886/1392/2922/1812/2906/5746/719/2741/2568/147/1901/2562/2918/6753/51738/1137/55584/2913/3361/2897/2837/3973/130574/886/10316/257313/8001"
"hsa05202","Transcriptional misregulation in cancer",179,0.560217424580721,1.38898331569982,2.56292964968136e-07,2.24256344347119e-05,1.61869241032507e-05,7553,"tags=55%, list=31%, signal=38%","8842/3205/861/3206/9915/30012/5079/8968/894/7185/8352/3195/1848/3207/5468/8353/5077/8861/7490/5914/54738/1647/8356/5327/4318/1991/604/4300/8355/597/1050/3480/8900/221037/1643/4211/2078/6256/64919/7850/2118/5081/51274/6258/6667/862/2115/7048/8354/4005/929/4233/3486/578/329/5218/1437/1026/51384/3248/4616/4208/2313/3087/958/4066/3479/5090/6495/8091/2138/2308/8938/26471/171558/860/3695/8350/2321/581/2119/4804/4613/7849/330/1027/5154/7704/4094/6257/5747/7157/6935/7709/3021/2005/3560/85414"
"hsa04020","Calcium signaling pathway",239,0.538077414363287,1.34522063679631,3.49488567989441e-07,2.44641997592609e-05,1.76583697510454e-05,6432,"tags=51%, list=27%, signal=38%","5330/8913/57118/2253/5333/2066/2769/6262/4915/185/3707/9630/2774/196883/6543/3706/4776/552/255231/4486/7125/7419/107/148/84812/2902/113/6870/2149/7039/1910/4775/26281/2668/5579/8912/91807/775/1909/2263/1128/817/6546/2254/2246/154/7852/5979/1956/136/2261/3269/810/553/4803/5724/8911/493/135/624/489/488/5582/5153/5733/3363/1131/4233/5021/623/1129/5159/153/4773/9127/2778/56034/3709/2247/2911/5331/80228/2915/4846/155/4772/109/952/3791/6915/3362/7424/5156/6869/5566/2324/116443/5136/5155/814/4638/1139/8877/3357/146/2321/818/56413/57192/5578/5332/2064/5027/7423/8817/6261/777/5026/5731/85366/776/2250/5154"
"hsa05217","Basal cell carcinoma",63,0.668092982317575,1.59746009045642,5.66202039788878e-07,3.30284523210179e-05,2.38400858858475e-05,6561,"tags=76%, list=27%, signal=56%","7472/7474/6469/10297/7482/324/652/8321/8324/374654/2737/7473/1647/8643/89780/80326/1643/7471/2736/7483/7855/5727/11211/81029/7484/64399/578/1026/51384/83439/7475/8312/4616/6934/8326/54361/6932/7477/51684/2535/8325/7480/51176/581/8313/6608/650/2735"
"hsa04928","Parathyroid hormone synthesis, secretion and action",112,0.593025307893395,1.44315899495455,1.10377126088063e-06,4.82899926635276e-05,3.48559345541252e-05,5856,"tags=54%, list=24%, signal=41%","2625/5144/5745/9365/5330/10568/5143/5141/64386/196883/5744/50964/596/8600/11214/6446/107/113/6569/4323/1839/64764/9247/5579/1591/6256/846/1594/5337/9138/1956/2770/111/6258/6667/10672/2771/90993/5582/408/65266/4205/1026/2778/3709/4209/5331/65268/109/4208/5566/65125/10893/4325/7421/2353/5142/860/5578/5332"
"hsa04820","Cytoskeleton in muscle cells",224,0.53566149229229,1.33556520046889,1.06954649190082e-06,4.82899926635276e-05,3.48559345541252e-05,6005,"tags=46%, list=25%, signal=34%","5339/1466/91977/2200/2318/4811/272/6711/1298/8572/3696/3676/57731/6712/8082/57159/1829/71/1674/1282/89/1302/7125/7431/6445/23224/7060/22795/64236/255631/26287/7169/3679/7168/79784/482/2006/51332/23500/1824/7057/88/6640/4000/83660/1299/3673/23002/200539/1837/1311/84033/6443/7058/23353/10398/375790/7273/2274/4604/476/1277/127294/25802/23345/287/84665/22989/2192/7171/1462/2201/27295/171024/161176/3674/1286/752/84467/1290/481/2275/6382/4629/3691/58/7111/4606/1284/4636/7094/27063/2335/3695/3678/70/7170/1285/3908/478/7139/22801"
"hsa04360","Axon guidance",177,0.548771954011941,1.36000106230331,1.44601987150105e-06,5.62341061139297e-05,4.05900314807312e-05,7240,"tags=55%, list=30%, signal=39%","5058/22854/7474/2242/64101/6469/5880/7222/27289/9423/1945/4776/1808/64221/91653/5998/59277/55740/1969/56924/5293/6585/151449/56288/6405/56896/659/2050/4775/3983/7869/10509/10500/817/7852/2770/29984/9037/56963/219699/22885/4917/10398/1073/223117/5727/57144/2771/81029/23654/54437/8829/4233/57715/106821730/10505/57689/54434/4773/84612/64218/2044/8482/54910/6714/5364/54361/85464/5296/10512/5362/9353/6586/6387/655/80031/2048/4636/84628/3984/10154/818/5578/6608/7223/9901/6092/6091/7225/57522/1949/1630/5747/8633/998/4756/5295/54961"
"hsa04517","IgSF CAM signaling",286,0.513614819598955,1.29017161534156,2.012081170476e-06,7.042284096666e-05,5.08315243067621e-05,8300,"tags=56%, list=35%, signal=37%","5058/23136/6711/3676/57731/6712/9423/71/7204/10451/64221/56924/8541/5293/10381/79784/6585/54538/51332/56288/84063/4067/50848/7827/5579/145581/91807/28964/382/5376/22865/10458/5601/4356/22871/114798/4685/7189/219699/10398/25945/4359/8506/57144/10095/84617/5906/4008/9693/2036/8829/5582/10580/347733/91768/57524/106821730/10382/57689/3687/3383/9788/92154/351/1272/287/3737/84612/4868/58494/3683/23607/3384/7277/5602/3791/6714/6300/3556/1000/6900/23426/9863/5296/7280/5603/5362/9564/84189/26050/4629/1445/203068/8499/9353/6586/3689/6334/2308/4638/57863/1525/653857/51807/3678/3932/5578/5962/5802/51735/5588/57555/3742/5789/4637/85366/9901/6092/6091/7082/55243/4133/7225/8828/4099/57522/4916/81607/1630/5747/57513/8633/998/4627/208/22999/5295/1796/3739/57823/288/25/23085/3786/8777/79827/23705/5605/3690/4897/4301/2037/2260/5335/6709/5803/5817/26047/8497"
