"Sample","Mahal_Distance","Is_Outlier","Sample_Type","Treatment"
"GSM7698458_TAMR_Aza_Day7_R2",12.1826856291501,FALSE,"TAMR","Aza"
"GSM7698472_FD07746841",10.4070471396341,FALSE,"FD","Control"
"GSM7698473_FD07746850",10.1829929579565,FALSE,"FD","Control"
"GSM7698470_FD07745969",8.74623389316006,FALSE,"FD","Control"
"GSM7698453_TAMR_Aza_Day7_R1",8.59221660640072,FALSE,"TAMR","Aza"
"GSM7698471_FD07746819",8.45322070990634,FALSE,"FD","Control"
"GSM7698468_FD07745869",8.40688290761414,FALSE,"FD","Control"
"GSM7698467_FD07743210",8.375141875826,FALSE,"FD","Control"
"GSM7698469_FD07745961",8.35755975139262,FALSE,"FD","Control"
"GSM7698454_TAMR_NoAza_Day11_R2",8.34801298258021,FALSE,"TAMR","Aza"
"GSM7698452_TAMR_P8",7.79003086173214,FALSE,"TAMR","Control"
"GSM7698451_MCF7_Cardiff_P7",7.26837765326166,FALSE,"MCF7","Control"
"GSM7698456_TAMR_NoAza_Day11_R1",7.21139539961648,FALSE,"TAMR","Aza"
"GSM7698474_FD07747708",6.82562899799887,FALSE,"FD","Control"
"GSM7698455_TAMR_Aza_Day28_R1",4.88935350460402,FALSE,"TAMR","Aza"
"GSM7698457_TAMR_Aza_Day28_R2",4.38268907279279,FALSE,"TAMR","Aza"
"GSM7698464_LNCAP_125_3",3.99414128196193,FALSE,"LNCAP","125"
"GSM7698440_LNCAP_125_1",3.94741284723986,FALSE,"LNCAP","125"
"GSM7698463_LNCAP_250_3",3.90729694189751,FALSE,"LNCAP","250"
"GSM7698462_LNCAP_500_3",3.87547169652821,FALSE,"LNCAP","500"
"GSM7698446_LNCAP_500_2",3.83365659327224,FALSE,"LNCAP","500"
"GSM7698438_LNCAP_500_1",3.80597636338604,FALSE,"LNCAP","500"
"GSM7698447_LNCAP_250_2",3.75489050874412,FALSE,"LNCAP","250"
"GSM7698448_LNCAP_125_2",3.52773760658413,FALSE,"LNCAP","125"
"GSM7698443_PREC_500_2",2.48822866273656,FALSE,"PREC","500"
"GSM7698459_PREC_500_3",2.47559024798521,FALSE,"PREC","500"
"GSM7698444_PREC_250_2",2.44962169314017,FALSE,"PREC","250"
"GSM7698449_SYN_5656",2.4156233261159,FALSE,"SYN","Control"
"GSM7698460_PREC_250_3",2.39128810835969,FALSE,"PREC","250"
"GSM7698436_PREC_250_1",2.37201904916585,FALSE,"PREC","250"
"GSM7698435_PREC_500_1",2.36677979491389,FALSE,"PREC","500"
"GSM7698461_PREC_125_3",2.28223312507559,FALSE,"PREC","125"
"GSM7698437_PREC_125_1",2.28135883123948,FALSE,"PREC","125"
"GSM7698445_PREC_125_2",2.25872238593872,FALSE,"PREC","125"
"GSM7698450_SYN_16599",1.3920807809618,FALSE,"SYN","Control"
"GSM7698465_SYN-11452",1.19359671185867,FALSE,"SYN","Control"
"GSM7698466_SYN_15917",0.925960180924465,FALSE,"SYN","Control"
"GSM7698442_SYN_10651",0.847906757036919,FALSE,"SYN","Control"
"GSM7698441_SYN_12543",0.792936561306287,FALSE,"SYN","125"
